"Name","State","Notes","User","Tags","Created","Runtime","Sweep","aug_images_dir","aug_maps_dir","augment","augmentation_methods","augmented_maps_dir","batch_size","cc","cc_coeff","dataset_dir","dilation","enc_model","kldiv","kldiv_coeff","l1","l1_coeff","load_weight","log_interval","lr","lr_sched","model_val_path","name","no_epochs","no_workers","nss","nss_coeff","nss_emlnet","nss_emlnet_coeff","nss_norm","nss_norm_coeff","optim","sim","sim_coeff","step_size","train_enc","train_im","train_maps","avg_loss","avg_train_loss","cc_loss","kldiv_loss","loss","nss_loss","sim_loss"
"Contrast2","crashed","-","heatdh","","2022-12-23T16:20:56.000Z","452487","","","","","","","32","true","-1","dataset/","false","pnas","true","1","false","1","1","60","0.0001","true","model_Contrast2.pt","Contrast2","15","4","false","1","false","1","false","1","Adam","false","-1","5","1","augmented/images/Contrast2","augmented/maps/Contrast2","-0.993431820656164","","0.8871954679489136","0.23152723908424375","","1.6412246227264404","0.7777433395385742"
"Contrast1","crashed","-","heatdh","","2022-12-23T13:58:51.000Z","461007","","","","","","","32","true","-1","dataset/","false","pnas","true","1","false","1","1","60","0.0001","true","model_Contrast1.pt","Contrast1","15","4","false","1","false","1","false","1","Adam","false","-1","5","1","augmented/images/Contrast1","augmented/maps/Contrast1","-0.993691718997285","","0.9082623720169068","0.1994982361793518","","1.682717204093933","0.7980175018310547"
"Mirroring","finished","-","heatdh","","2022-12-22T22:53:44.000Z","8556","","","","","","","32","true","-1","dataset/","false","pnas","true","1","false","1","1","60","0.0001","true","model_Mirroring.pt","Mirroring","15","4","false","1","false","1","false","1","Adam","false","-1","5","1","augmented/images/Mirroring","augmented/maps/Mirroring","-0.9934883079589746","","0.9031577110290528","0.2094174474477768","","1.669561505317688","0.7868244051933289"
"Shearing3","finished","-","heatdh","","2022-12-22T20:34:39.000Z","8339","","","","","","","32","true","-1","dataset/","false","pnas","true","1","false","1","1","60","0.0001","true","model_Shearing3.pt","Shearing3","15","4","false","1","false","1","false","1","Adam","false","-1","5","1","augmented/images/Shearing3","augmented/maps/Shearing3","-0.9943678177202852","","0.901985228061676","0.21641020476818085","","1.670345902442932","0.7848761677742004"
"Shearing2","finished","-","heatdh","","2022-12-22T18:16:46.000Z","8267","","","","","","","32","true","-1","dataset/","false","pnas","true","1","false","1","1","60","0.0001","true","model_Shearing2.pt","Shearing2","15","4","false","1","false","1","false","1","Adam","false","-1","5","1","augmented/images/Shearing2","augmented/maps/Shearing2","-0.9963472915914492","","0.8797453045845032","0.2611325979232788","","1.6249922513961792","0.7520954608917236"
"Inversion","crashed","-","heatdh","","2022-12-22T17:15:30.000Z","535594","","","","","","","32","true","-1","dataset/","false","pnas","true","1","false","1","1","60","0.0001","true","model_Inversion.pt","Inversion","15","4","false","1","false","1","false","1","Adam","false","-1","5","1","augmented/images/Inversion","augmented/maps/Inversion","-0.996070293382334","","0.9039590358734132","0.20781515538692472","","1.6722159385681152","0.7888522148132324"
"Shearing1","finished","-","heatdh","","2022-12-22T15:57:47.000Z","8332","","","","","","","32","true","-1","dataset/","false","pnas","true","1","false","1","1","60","0.0001","true","model_Shearing1.pt","Shearing1","15","4","false","1","false","1","false","1","Adam","false","-1","5","1","augmented/images/Shearing1","augmented/maps/Shearing1","-0.994248700408509","","0.9003212451934814","0.21437180042266848","","1.6674777269363403","0.785093367099762"
"JpegCompression1","crashed","-","heatdh","","2022-12-22T15:01:42.000Z","543633","","","","","","","32","true","-1","dataset/","false","pnas","true","1","false","1","1","60","0.0001","true","model_JpegCompression1.pt","JpegCompression1","15","4","false","1","false","1","false","1","Adam","false","-1","5","1","augmented/images/JpegCompression1","augmented/maps/JpegCompression1","-0.9949977119890646","","0.9078522324562072","0.1994204074144363","","1.6810529232025146","0.7974982261657715"
"boundaries","finished","-","heatdh","","2022-12-22T13:37:54.000Z","8387","","","","","","","32","true","-1","dataset/","false","pnas","true","1","false","1","1","60","0.0001","true","model_boundaries.pt","boundaries","15","4","false","1","false","1","false","1","Adam","false","-1","5","1","augmented/images/boundaries","augmented/maps/boundaries","-0.9864953398323668","","0.6548592448234558","0.5664145350456238","","1.201914668083191","0.614977240562439"
"JpegCompression2","crashed","-","heatdh","","2022-12-22T12:47:31.000Z","551674","","","","","","","32","true","-1","dataset/","false","pnas","true","1","false","1","1","60","0.0001","true","model_JpegCompression2.pt","JpegCompression2","15","4","false","1","false","1","false","1","Adam","false","-1","5","1","augmented/images/JpegCompression2","augmented/maps/JpegCompression2","-0.9953314848601248","","0.9052896499633788","0.20413607358932495","","1.6753333806991575","0.79324871301651"
"Noise2","finished","-","heatdh","","2022-12-22T11:14:32.000Z","8596","","","","","","","32","true","-1","dataset/","false","pnas","true","1","false","1","1","60","0.0001","true","model_noise2.pt","Noise2","15","4","false","1","false","1","false","1","Adam","false","-1","5","1","augmented/images/Noise2","augmented/maps/Noise2","-0.9892767010786282","","0.9061979055404664","0.2031552493572235","","1.6792466640472412","0.7956162691116333"
"Noise1","crashed","-","heatdh","","2022-12-22T10:34:07.000Z","559685","","","","","","","32","true","-1","dataset/","false","pnas","true","1","false","1","1","60","0.0001","true","model.pt","Noise1","15","4","false","1","false","1","false","1","Adam","false","-1","5","1","augmented/images/Noise1","augmented/maps/Noise1","-0.9935537530972172","","0.90809565782547","0.19986166059970856","","1.682012677192688","0.7972639799118042"
