,method,mean_intensity_difference
0,MotionBlur1,1.5011263020833334
1,MotionBlur2,3.081689453125
2,Noise1,1.2658626302083333
3,Noise2,1.2068684895833335
4,Contrast1,0.8547949218750001
5,Contrast2,0.8393782552083334
6,Mirroring,6.547018229166667
7,Inversion,0.6884342447916667
8,Shearing1,15.085563151041667
9,Shearing2,16.252037760416666
10,Shearing3,8.96841796875
11,Rotate-45,12.769544270833334
12,Rotate135,16.424195963541667
13,boundaries,16.447714843750003
14,JpegCompression1,0.790400390625
15,JpegCompression2,1.2417382812500002
