,method,mean_intensity_difference
0,MotionBlur1,2.0316616210937495
1,MotionBlur2,3.823179329427084
2,Noise1,1.7462523763020834
3,Noise2,1.7611635742187501
4,Contrast1,1.8626877929687498
5,Contrast2,1.9415791015625001
6,Mirroring,8.881375227864584
7,Inversion,2.9637666666666673
8,Shearing1,10.348171484375003
9,Shearing2,11.365543912760417
10,Shearing3,11.925966471354167
11,Rotate-45,9.642231933593752
12,Rotate135,9.656176985677083
13,boundaries,9.485749446614582
14,JpegCompression1,2.5309926432291663
15,JpegCompression2,3.4689991210937503
